;;;Originalwerte
Hotels, Gasthöfe und Pensionen;2012;November;92,8
Hotels, Gasthöfe und Pensionen;2012;Dezember;93
Hotels, Gasthöfe und Pensionen;2013;Januar;75,2
Hotels, Gasthöfe und Pensionen;2013;Februar;77,7
Hotels, Gasthöfe und Pensionen;2013;März;88,2
Hotels, Gasthöfe und Pensionen;2013;April;95,4
Hotels, Gasthöfe und Pensionen;2013;Mai;102,4
Hotels, Gasthöfe und Pensionen;2013;Juni;105,1
Hotels, Gasthöfe und Pensionen;2013;Juli;104,9
Hotels, Gasthöfe und Pensionen;2013;August;108,4
Hotels, Gasthöfe und Pensionen;2013;September;116,8
Hotels, Gasthöfe und Pensionen;2013;Oktober;112,8
Hotels, Gasthöfe und Pensionen;2013;November;91,9
Hotels, Gasthöfe und Pensionen;2013;Dezember;90,9
Hotels, Gasthöfe und Pensionen;2014;Januar;74,8
Hotels, Gasthöfe und Pensionen;2014;Februar;76,2
Hotels, Gasthöfe und Pensionen;2014;März;87,8
Hotels, Gasthöfe und Pensionen;2014;April;89,9
Hotels, Gasthöfe und Pensionen;2014;Mai;111,8
Hotels, Gasthöfe und Pensionen;2014;Juni;105,5
Hotels, Gasthöfe und Pensionen;2014;Juli;106,7
Hotels, Gasthöfe und Pensionen;2014;August;110,3
Hotels, Gasthöfe und Pensionen;2014;September;121,8
Hotels, Gasthöfe und Pensionen;2014;Oktober;112,8
Hotels, Gasthöfe und Pensionen;2014;November;94,7
Hotels, Gasthöfe und Pensionen;2014;Dezember;92,5
Hotels, Gasthöfe und Pensionen;2015;Januar;75,2
Hotels, Gasthöfe und Pensionen;2015;Februar;78,6
Hotels, Gasthöfe und Pensionen;2015;März;89,4
Hotels, Gasthöfe und Pensionen;2015;April;91,5
Hotels, Gasthöfe und Pensionen;2015;Mai;108,8
Hotels, Gasthöfe und Pensionen;2015;Juni;112,4
Hotels, Gasthöfe und Pensionen;2015;Juli;109,6
Hotels, Gasthöfe und Pensionen;2015;August;112,3
Hotels, Gasthöfe und Pensionen;2015;September;119,9
Hotels, Gasthöfe und Pensionen;2015;Oktober;113,6
Hotels, Gasthöfe und Pensionen;2015;November;95,1
Hotels, Gasthöfe und Pensionen;2015;Dezember;93,6
Hotels, Gasthöfe und Pensionen;2016;Januar;77,1
Hotels, Gasthöfe und Pensionen;2016;Februar;82,2
Hotels, Gasthöfe und Pensionen;2016;März;92,7
Hotels, Gasthöfe und Pensionen;2016;April;100,4
Hotels, Gasthöfe und Pensionen;2016;Mai;108,1
Hotels, Gasthöfe und Pensionen;2016;Juni;111,2
Hotels, Gasthöfe und Pensionen;2016;Juli;111,8
Hotels, Gasthöfe und Pensionen;2016;August;110,8
Hotels, Gasthöfe und Pensionen;2016;September;126,4
Hotels, Gasthöfe und Pensionen;2016;Oktober;115,7
Hotels, Gasthöfe und Pensionen;2016;November;96,5
Hotels, Gasthöfe und Pensionen;2016;Dezember;95,9
Hotels, Gasthöfe und Pensionen;2017;Januar;79,1
Hotels, Gasthöfe und Pensionen;2017;Februar;80,8
Hotels, Gasthöfe und Pensionen;2017;März;98,2
Hotels, Gasthöfe und Pensionen;2017;April;96,5
Hotels, Gasthöfe und Pensionen;2017;Mai;117,1
Hotels, Gasthöfe und Pensionen;2017;Juni;110
Hotels, Gasthöfe und Pensionen;2017;Juli;112,5
Hotels, Gasthöfe und Pensionen;2017;August;108,6
Hotels, Gasthöfe und Pensionen;2017;September;125,5
Hotels, Gasthöfe und Pensionen;2017;Oktober;116,2
Hotels, Gasthöfe und Pensionen;2017;November;97,4
