;;;Arbeitslose;Arbeitslosenquote aller zivilen Erwerbspersonen;Arbeitslosenquote d. abhängigen ziv. Erwerbspers.;Gemeldete Arbeitsstellen;Kurzarbeiter;Kurzarbeitende Betriebe
Früheres Bundesgebiet;2013;Dezember;2034278;5,9;6,6;354724;161782;16748
Früheres Bundesgebiet;2014;Januar;2207374;6,4;7,1;341687;269055;26603
Früheres Bundesgebiet;2014;Februar;2210161;6,4;7,1;365683;250238;26116
Früheres Bundesgebiet;2014;März;2159544;6,2;7;379118;152436;18177
Früheres Bundesgebiet;2014;April;2093679;6;6,8;387885;62785;4487
Früheres Bundesgebiet;2014;Mai;2061023;5,9;6,6;385120;59279;4290
Früheres Bundesgebiet;2014;Juni;2034034;5,8;6,5;395696;55263;3838
Früheres Bundesgebiet;2014;Juli;2075576;5,9;6,6;402792;44771;3538
Früheres Bundesgebiet;2014;August;2104801;6;6,7;414437;36016;2934
Früheres Bundesgebiet;2014;September;2037178;5,8;6,5;417783;42195;3197
Früheres Bundesgebiet;2014;Oktober;1974399;5,6;6,3;418144;52115;3452
Früheres Bundesgebiet;2014;November;1956799;5,6;6,3;414447;53964;3736
Früheres Bundesgebiet;2014;Dezember;1980073;5,7;6,3;400509;163215;20176
Früheres Bundesgebiet;2015;Januar;2160458;6,2;6,9;389074;256231;31381
Früheres Bundesgebiet;2015;Februar;2152973;6,2;6,9;415817;274453;34147
Früheres Bundesgebiet;2015;März;2097264;6;6,7;434250;191623;25112
Früheres Bundesgebiet;2015;April;2043887;5,8;6,5;443471;55344;3818
Früheres Bundesgebiet;2015;Mai;1995124;5,6;6,3;448122;48190;3468
Früheres Bundesgebiet;2015;Juni;1968758;5,6;6,2;461060;48866;3424
Früheres Bundesgebiet;2015;Juli;2018515;5,7;6,3;475007;41424;3074
Früheres Bundesgebiet;2015;August;2042054;5,8;6,4;480997;33972;2620
Früheres Bundesgebiet;2015;September;1978579;5,6;6,2;482959;42815;2902
Früheres Bundesgebiet;2015;Oktober;1929878;5,5;6,1;490802;50359;3088
Früheres Bundesgebiet;2015;November;1915746;5,4;6;489717;55506;3450
Früheres Bundesgebiet;2015;Dezember;1942796;5,5;6,1;473803;141626;17608
Früheres Bundesgebiet;2016;Januar;2111455;6;6,6;464014;263685;33595
Früheres Bundesgebiet;2016;Februar;2107446;6;6,6;490118;268129;33467
Früheres Bundesgebiet;2016;März;2065274;5,8;6,5;506350;192703;26011
Früheres Bundesgebiet;2016;April;2004138;5,7;6,3;511159;54884;3533
Früheres Bundesgebiet;2016;Mai;1954865;5,5;6,1;525057;45920;3211
Früheres Bundesgebiet;2016;Juni;1927757;5,4;6;533630;44283;3225
Früheres Bundesgebiet;2016;Juli;1970547;5,5;6,1;543080;36460;2762
Früheres Bundesgebiet;2016;August;1997640;5,6;6,2;551444;40090;2497
Früheres Bundesgebiet;2016;September;1942075;5,4;6;553516;37268;2630
Früheres Bundesgebiet;2016;Oktober;1888409;5,3;5,9;558301;41008;2653
Früheres Bundesgebiet;2016;November;1877448;5,3;5,8;549756;42296;2911
Früheres Bundesgebiet;2016;Dezember;1897010;5,3;5,9;528884;139035;19775
Früheres Bundesgebiet;2017;Januar;2047733;5,7;6,3;519159;290882;36738
Früheres Bundesgebiet;2017;Februar;2039396;5,7;6,3;540830;253084;31597
Früheres Bundesgebiet;2017;März;1974085;5,5;6,1;554882;171258;23026
Früheres Bundesgebiet;2017;April;1916627;5,4;5,9;567397;31731;2389
Früheres Bundesgebiet;2017;Mai;1871094;5,2;5,7;575544;29490;2304
Früheres Bundesgebiet;2017;Juni;1857130;5,1;5,7;590130;27313;2142
Früheres Bundesgebiet;2017;Juli;1897033;5,2;5,8;607282;24073;1960
Früheres Bundesgebiet;2017;August;1922760;5,3;5,9;620302;21241;1727
Früheres Bundesgebiet;2017;September;1847288;5,1;5,6;626418;21257;1787
Früheres Bundesgebiet;2017;Oktober;1796805;5;5,5;631953;20475;1780
Früheres Bundesgebiet;2017;November;1778845;4,9;5,4;624844;19483;1903
Früheres Bundesgebiet;2017;Dezember;1782734;4,9;5,5;615660;159372;24041
Früheres Bundesgebiet;2018;Januar;1918351;5,3;5,9;593580;222473;30244
Früheres Bundesgebiet;2018;Februar;1899387;5,3;5,8;616033;277618;36770
Früheres Bundesgebiet;2018;März;1833819;5,1;5,6;627618;248568;32483
Früheres Bundesgebiet;2018;April;1785759;4,9;5,5;632478;19433;1598
Früheres Bundesgebiet;2018;Mai;1738358;4,7;5,2;639076;18249;1467
Früheres Bundesgebiet;2018;Juni;1713219;4,7;5,2;650403;22321;1522
Früheres Bundesgebiet;2018;Juli;1752774;4,8;5,3;667412;17934;1426
Früheres Bundesgebiet;2018;August;1778625;4,8;5,4;672252;30354;1370
Früheres Bundesgebiet;2018;September;1706822;4,7;5,1;678765;33810;1436
Früheres Bundesgebiet;2018;Oktober;1664585;4,5;5;672023;37099;1491
Früheres Bundesgebiet;2018;November;1650390;4,5;5;656468;41818;1643
